Record ID#,Jurisdiction Name,State,Jurisdiction Type,Date,Description,Finance Mechanism,"""Other"" Comment",Purpose,Total Funds at Stake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,VotesYes,VotesNo,Total Votes,% Yes,% No,Notes,Expiration?,Year of Expiration,Year of Renewal,FIPS1,FIPS,Related Code - Political DB
6970,Barnstable,MA,Municipal,11/3/1998,"Creates Regional Land Bank By 3 Percent Surcharge on Property Tax Bills for Open Space, Recreation, Trails, Watershed Protection",Property tax,,"Open space, recreation, trails, watershed protection","$35,532,740 ","$34,466,750 ","$35,532,740 ","$34,466,750 ",yes,Pass,"9,977","8,428","18,405",54.21%,45.79%,,no,,,2500103600,2500103600,
6977,Chatham,MA,Municipal,11/3/1998,"Creates Regional Land Bank By 3 Percent Surcharge on Property Tax Bills for Open Space, Recreation, Trails, Watershed Protection",Property tax,,"Open space, recreation, trails, watershed protection","$10,543,480 ","$10,000,000 ","$10,543,480 ","$10,000,000 ",yes,Pass,"2,431","1,254","3,685",65.97%,34.03%,,no,,,2500112995,2500112995,
6997,Provincetown,MA,Municipal,11/3/1998,"Creates Regional Land Band By 3 Percent Surcharge on Property Tax Bills for Open Space, Recreation, Trails, Watershed Protection",Property tax,,"Open space, recreation, trails, watershed protection","$45,863,000 ","$4,448,711 ","$45,863,000 ","$4,448,711 ",yes,Pass,"1,069",520,"1,589",67.28%,32.72%,,no,,,2500155500,2500155500,
6998,Wellfleet,MA,Municipal,11/3/1998,"Creates Regional Land Bank By 3 Percent Surcharge on Property Tax Bills for Open Space, Recreation, Watershed Protection, Trails",Property tax,,"Open space, recreation, watershed protection, trails","$200,596 ","$200,596 ","$200,596 ","$200,596 ",yes,Pass,836,535,"1,371",60.98%,39.02%,,no,,,2500174385,2500174385,
6999,Dennis,MA,Municipal,11/3/1998,"Creates Regional Land Bank By 3 Percent Surcharge on Property Tax Bills for Open Space, Recreation, Watershed Protection, Trails",Property tax,,"Open space, recreation, watershed protection, trails","$11,732,090 ","$3,400,000 ","$11,732,090 ","$3,400,000 ",yes,Pass,"4,429","2,497","6,926",63.95%,36.05%,,no,,,2500116775,2500116775,
7035,Eastham,MA,Municipal,11/3/1998,"Creates Regional Land Bank by 3 Percent Surcharge on Property Tax Bills for Open Space, Trails, Recreation, Watershed Protection",Property tax,,"Recreation, open space, trails, watershed protection","$5,003,300 ","$2,174,080 ","$5,003,300 ","$2,174,080 ",yes,Pass,"1,606","1,027","2,633",61.00%,39.00%,,no,,,2500119295,2500119295,
7096,Falmouth,MA,Municipal,11/3/1998,"Creates Regional Land Bank By 3 Percent Surcharge on Property Tax Bills for Open Space, Recreation, Trails, Watershed Protection",Property tax,,"Open space, trails, recreation, watershed protection","$11,767,240 ","$11,767,240 ","$11,767,240 ","$11,767,240 ",yes,Pass,"7,997","5,454","13,451",59.45%,40.55%,,no,,,2500123105,2500123105,
7195,Sandwich,MA,Municipal,11/3/1998,"Question 5, 3% Property Tax Increase for Land Bank for Open Space, Conservation, Trails, Recreation, Drinking Water Protection",Property tax,,"Recreation, open space, watershed protection, trails","$13,321,880 ","$12,860,500 ","$13,321,880 ","$12,860,500 ",yes,Pass,"4,148","3,743","7,891",52.57%,47.43%,,no,,,2500159735,2500159735,
7754,Northborough,MA,Municipal,6/9/1998,Bond for open space and recreation ladn acquisition,Bond,,"Recreation,open space","$2,000,000 ","$2,000,000 ",,,no,Fail,454,529,983,46.19%,53.81%,,no,,,2502746820,2502746820,
7765,Barnstable County,MA,County,1/27/1998,"Question 1, 1 Percent Real Estate Transfer Tax Increase for Open Space, Trails, Recreation, Watershed Protection, Creation of Regional Land Bank",Real estate transfer tax,,"Open space, trails, recreation, watershed protection","$104,730,670 ","$92,267,339 ",,,no,Fail,"27,618","34,044","61,662",44.79%,55.21%,"Required All Municipalities in Barnstable Counties to Approve.
8 towns voted against.  7 towns voted for.",no,,,25001,25001,25001
6936,Johnson County,KS,County,11/3/1998,Bond for land acquistion,Bond,,"Open space, watershed protection","$6,000,000 ","$5,700,000 ","$6,000,000 ","$5,700,000 ",yes,Pass,"88,494","39,479","127,973",69.15%,30.85%,,no,,,20091,20091,20091
7000,Glen Ellyn Park District,IL,Municipal,11/3/1998,$0.20 per $100 of assessed property value property tax increase for parks,Property tax,,Parks,"$53,026,260 ","$53,026,260 ",,,no,Fail,"4,569","7,248","11,817",38.66%,61.34%,DuPage County,no,,,1729756,1729756,
7057,Homer Township,IL,Municipal,11/3/1998,Bond for land acquisition,Bond,,Open space,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",yes,Pass,"4,899","3,280","8,179",59.90%,40.10%,Will County,no,,,1719735827,1719735827,
7194,Homewood-Flossmoor Park District,IL,Special District,3/17/1998,$0.25 per $100 property tax for parks,Property tax,,"Open space, parks","$18,000,000 ","$11,000,000 ","$18,000,000 ","$11,000,000 ",yes,Pass,"4,767","2,791","7,558",63.07%,36.93%,Cook County,no,,,,,
7313,Clarendon Hills Park District,IL,Special District,11/3/1998,Bond for parks,Bond,,Parks,"$4,900,000 ","$4,900,000 ",,,no,Fail,"1,422","1,774","3,196",44.49%,55.51%,DuPage County,no,,,,,
6236,Forsyth County,GA,County,3/17/1998,"5-year, 1 percent SPLOST for capital improvements",Sales tax,,"Recreation, parks","$100,000,000 ","$15,930,000 ","$100,000,000 ","$15,930,000 ",yes,Pass,"3,214","1,732","4,946",64.98%,35.02%,,no,2003,,13117,13117,13117
7481,Georgia,GA,State,11/3/1998,"Constitutional (Heritage) Amendment, 4-years, $1 per $1000 valuation real estate transfer tax increase",Real estate transfer tax,,"Recreation, open space, watershed protection, wildlife habitat","$120,000,000 ","$120,000,000 ",,,no,Fail,"770,192","875,003","1,645,195",46.81%,53.19%,,no,,,13,13,13
6199,Florida,FL,State,11/3/1998,"Conservation of Natural Resources and Creation of Fish and Wildlife Conservation Commission, extension of authority to sell bonds for land conservation, open space, recreation, wildlife",Other,Extension of bonding authority,"Open space, recreation, wildlife habitat",,,,,yes,Pass,"2,630,674","1,007,905","3,638,579",72.30%,27.70%,,no,,,12,12,12
6201,St. Johns County,FL,County,11/3/1998,"Environmentally Sensitive, Archeological, Historic and Recreational Lands of Half Percent Sales Surtax Referendum, 5-year, 0.5 percent sales tax increase for open space, recreation, environmentally sensitive lands",Sales tax,,"Open space, recreation",,,,,no,Fail,"17,018","21,320","38,338",44.39%,55.61%,,no,,,12109,12109,12109
7061,Martin County,FL,County,11/3/1998,"Lands for Healthy Rivers and Natural Resources Protection,  3-year, 1 percent sales tax increase for open space, purchase of sensitive lands",Sales tax,,"Open space, wildlife habitat, watershed protection","$27,189,522 ","$19,056,954 ","$27,189,522 ","$19,056,954 ",yes,Pass,"21,058","20,033","41,091",51.25%,48.75%,,yes,2001,,12085,12085,12085
7470,Wilton Manors,FL,Municipal,11/3/1998,"Bond for parks, Recreation",Bond,,Recreation,"$3,000,000 ","$3,000,000 ","$3,000,000 ","$3,000,000 ",yes,Pass,"1,762","1,029","2,791",63.13%,36.87%,,no,,,1278000,1278000,
9405,Davie,FL,Municipal,11/3/1998,$12 million general obligation bond for parks,Bond,,"Recreation, open space, parks","$12,000,000 ","$7,000,000 ","$12,000,000 ","$7,000,000 ",yes,Pass,"8,538","4,175","12,713",67.16%,32.84%,,no,,,1216475,1216475,
6167,Orange,CT,Municipal,11/3/1998,"Bond for open space, recreation",Bond,,"Open space, recreation","$2,395,000 ","$2,395,000 ","$2,395,000 ","$2,395,000 ",yes,Pass,"2,904","1,888","4,792",60.60%,39.40%,,no,,,900957600,900957600,
6170,Cheshire,CT,Municipal,11/3/1998,"Bond for open space, recreation, conservation, educational and municipal purposes",Bond,,"Open space, recreation","$1,000,000 ","$1,000,000 ","$1,000,000 ","$1,000,000 ",yes,Pass,"5,762","3,827","9,589",60.09%,39.91%,New Haven County,no,,,900914160,900914160,
6174,Oxford,CT,Municipal,5/27/1998,"Question 4, Bond for open space",Bond,,Open space,"$3,400,000 ","$3,400,000 ","$3,400,000 ","$3,400,000 ",yes,Pass,"1,466",408,"1,874",78.23%,21.77%,,no,,,900958300,900958300,
7060,Manchester,CT,Municipal,11/3/1998,"Question 1, Bond for Parks, Open Space",Bond,,"Open space, parks","$2,230,000 ","$700,000 ","$2,230,000 ","$700,000 ",yes,Pass,"9,384","3,990","13,374",70.17%,29.83%,,no,,,900344700,900344700,
6136,Silverthorne,CO,Municipal,11/3/1998,"2 percent lodging tax increase for parks, trails, and open space",Other,Lodging tax,"Open space, parks, trails","$1,907,380 ","$470,000 ","$1,907,380 ","$470,000 ",yes,Pass,518,236,754,68.70%,31.30%,,no,,,870525,870525,
6137,Snowmass Village,CO,Municipal,11/3/1998,"Bond for open space, trails, conservation easement",Bond,,"Open space, trails","$7,125,000 ","$7,125,000 ","$7,125,000 ","$7,125,000 ",yes,Pass,469,266,735,63.81%,36.19%,,no,,,871755,871755,
6146,Greeley,CO,Municipal,11/3/1998,"Ballot Issue 2B, 10-year, sales/use tax increase of 0.05 percent for open space, farmland, wildlife, watershed protection, native prairies",Sales tax,,"Open space, watershed protection, wildlife habitat, farmland","$4,908,230 ","$4,908,230 ",,,no,Fail,"8,088","10,519","18,607",43.47%,56.53%,,no,,,832155,832155,
6935,Breckenridge,CO,Municipal,11/3/1998,"Measure 2B, 2.5 percent use tax increase dedicating 0.5 percent for open space",Other,Use Tax,Open space,"$600,000 ","$120,000 ",,,no,Fail,251,423,674,37.24%,62.76%,,no,,,808400,808400,
7067,Lafayette,CO,Municipal,11/3/1998,"Ballot Issue 2A, 10-year, property tax increase up to $253,000 annually for open space",Property tax,,Open space,"$2,530,000 ","$2,530,000 ",,,no,Fail,"3,376","3,454","6,830",49.43%,50.57%,,no,,,841835,841835,
7078,Jefferson County,CO,County,11/3/1998,"Jefferson County Open Space Issue 1A, Bond for open space",Bond,,Open space,"$160,000,000 ","$160,000,000 ","$160,000,000 ","$160,000,000 ",yes,Pass,"124,789","52,776","177,565",70.28%,29.72%,,no,,,8059,8059,8059
7312,Denver,CO,Municipal,11/3/1998,"Measure 1A, bond for parks and recreation",Bond,,"Recreation, parks","$41,700,000 ","$41,700,000 ","$41,700,000 ","$41,700,000 ",yes,Pass,"81,834","57,492","139,326",58.74%,41.26%,,no,,,820000,820000,
7482,Douglas County,CO,County,11/3/1998,"Measure 1A, .17% sales tax extension for open space, Parks",Sales tax,,"Open space, parks","$165,000,000 ","$165,000,000 ","$165,000,000 ","$165,000,000 ",yes,Pass,"26,649","23,161","49,810",53.50%,46.50%,,yes,2024,,8035,8035,8035
6092,Santa Cruz,CA,Municipal,11/3/1998,"Measure G, Bond for open space, recreation, parks",Bond,,"Open space, recreation, parks","$7,000,000 ","$2,700,000 ","$7,000,000 ","$2,700,000 ",yes,Pass,"15,657","4,914","20,571",76.11%,23.89%,,no,,,669112,669112,
7079,Marin County,CA,County,11/3/1998,"Measure B, 20-year, 0.5-cent sales tax increase for transportation improvements, open space, trails, parks",Sales tax,,"Open space, trails, parks","$377,127,800 ","$55,000,000 ",,,no,Fail,"39,263","53,104","92,367",42.51%,57.49%,,no,,,6041,6041,6041
7309,Moreno Valley,CA,Municipal,11/3/1998,"Measure U, increase of parcel fee to pay for parks and recreation",Other,Parcel tax,"Recreation, parks",,,,,no,Fail,"10,241","14,524","24,765",41.35%,58.65%,,no,,,649270,649270,
7353,Moorpark,CA,Municipal,11/3/1998,"10-yr, special tax for open space acquisition",Other,Parcel tax,Open space,"$10,000,000 ","$10,000,000 ",,,no,Fail,"2,704","5,418","8,122",33.29%,66.71%,Requires two-thirds,no,,,649138,649138,
7484,Arizona,AZ,State,11/3/1998,"Proposition 303, State appropriations for open space",Other,Appropriation,Open space,"$220,000,000 ","$220,000,000 ","$220,000,000 ","$220,000,000 ",yes,Pass,"501,358","446,598","947,956",52.89%,47.11%,,no,,,4,4,4
6929,Dane County,WI,County,4/6/1999,"Bond for parks, wetlands, rivers, streams, forests, prairies, trails",Bond,,"Parks, forests, watershed protection, trails","$30,000,000 ","$30,000,000 ","$30,000,000 ","$30,000,000 ",yes,Pass,"62,015","19,890","81,905",75.72%,24.28%,,no,,,55025,55025,55025
6922,Lakewood,WA,Municipal,11/2/1999,"Proposition 1, Bond for parks, recreation facilities, trails",Bond,,"parks, recreation, open space","$9,890,000 ","$2,599,000 ",,,no,Fail,"6,778","7,770","14,548",46.59%,53.41%,,no,,,5338038,5338038,
6925,San Juan County,WA,County,11/2/1999,"Land Bank Proposition, 12-year, 1 percent real estate exise tax for conservation",Real estate transfer tax,,Open space,"$18,000,000 ","$18,000,000 ","$18,000,000 ","$18,000,000 ",yes,Pass,"4,114","1,539","5,653",72.78%,27.22%,,yes,2011,,53055,53055,53055
7585,Bellingham,WA,Municipal,11/2/1999,"Surcharge to acquire, improve and maintain water quality and water supply in Lake Whatcom",Other,Utility Tax,Watershed protection,"$80,000,000 ","$80,000,000 ",,,no,Fail,"8,232","8,458","16,690",49.32%,50.68%,,no,,,5305280,5305280,
6876,Allen,TX,Municipal,6/12/1999,"Proposition 5, Bond for parks, recreation",Bond,,"Parks, recreation","$22,000,000 ","$22,000,000 ","$22,000,000 ","$22,000,000 ",yes,Pass,872,357,"1,229",70.95%,29.05%,,no,,,4801924,4801924,
6894,Collin County,TX,County,2/20/1999,"Proposition 4, Bond for open space, parks",Bond,,"Open space, parks","$5,725,000 ","$2,082,820 ","$5,725,000 ","$2,082,820 ",yes,Pass,"7,098","2,339","9,437",75.21%,24.79%,,no,,,48085,48085,48085
6895,Grand Prairie,TX,Municipal,11/2/1999,"Proposition 1, .25 percent sales tax for parks, recreation acquisition and improvement",Sales tax,,"Parks, recreation","$75,907,860 ",,"$75,907,860 ",,yes,Pass,"5,217","2,567","7,784",67.02%,32.98%,"Dallas, Tarrant and Ellis Counties",no,,,4830464,4830464,
6896,Irving,TX,Municipal,2/6/1999,"Proposition 3, Bond for parks, recreation",Bond,,"Parks, recreation","$36,800,000 ","$5,500,000 ","$36,800,000 ","$5,500,000 ",yes,Pass,"2,332",850,"3,182",73.29%,26.71%,,no,,,4837000,4837000,
6897,McKinney,TX,Municipal,2/20/1999,"Proposition 5, Bond for parks, recreation",Bond,,"Parks, recreation","$4,825,000 ","$561,221 ","$4,825,000 ","$561,221 ",yes,Pass,"1,602",356,"1,958",81.82%,18.18%,,no,,,4845744,4845744,
6898,San Antonio,TX,Municipal,5/1/1999,"Proposition 4, Bond for parks, recreation",Bond,,"parks, recreation","$24,200,000 ","$2,800,125 ","$24,200,000 ","$2,800,125 ",yes,Pass,"34,378","10,876","45,254",75.97%,24.03%,,no,,,4865000,4865000,
6858,Barrington,RI,Municipal,9/28/1999,"Bond for open space, recreation",Bond,,"Open space, recreation","$1,000,000 ","$1,000,000 ","$1,000,000 ","$1,000,000 ",yes,Pass,840,192,"1,032",81.40%,18.60%,,no,,,4400105140,4400105140,
6802,Willistown Township,PA,Municipal,11/2/1999,Income tax increase to fund open space acquisition,Income tax,,Open space,"$5,000,000 ","$5,000,000 ",,,no,Fail,220,221,441,49.89%,50.11%,Chester Co,no,,,4202985352,4202985352,
6803,West Vincent Township,PA,Municipal,11/2/1999,"Open Space Referendum, .00056 property tax incrase for open space",Property tax,,open space,,,,,no,Fail,308,470,778,39.59%,60.41%,Chester Co,no,,,4202984160,4202984160,
6804,Solebury Township,PA,Municipal,11/2/1999,"Solebury Township Referendum, Bond for open space, farmland, recreation, easements",Bond,,"Open space, farmland, recreation","$10,000,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",yes,Pass,"1,863",210,"2,073",89.87%,10.13%,Bucks Co,no,,,4201771752,4201771752,
6805,Plumstead Township,PA,Municipal,5/1/1999,"7-year, .5 percent earned income tax for open space, farmland, easements, recreation, historic preservation",Income tax,,"Open space, farmland","$5,311,873 ","$5,136,873 ",,,no,Fail,"1,003","1,108","2,111",47.51%,52.49%,Bucks Co,no,,,4201761616,4201761616,
6807,Halfmoon Township,PA,Municipal,11/2/1999,"Farmland Preservation Tax Referendum, 2 mills property tax increase for farmland, open space",Property tax,,"farmland, open space","$1,960,000 ","$1,960,000 ","$1,960,000 ","$1,960,000 ",yes,Pass,263,201,464,56.68%,43.32%,Centre Co,no,,,4202731992,4202731992,
6808,East Rockhill Township,PA,Municipal,5/18/1999,".125 percent earned income tax for open space, farmland, recreation, historic preservation, easements",Income tax,,"Open space, recreation, farmland","$1,106,000 ","$1,106,000 ","$1,106,000 ","$1,106,000 ",yes,Pass,249,158,407,61.18%,38.82%,Bucks Co,no,,,4201721760,4201721760,
6809,East Marlborough Township,PA,Municipal,11/2/1999,".0002 mill property tax increase for open space, easements",Property tax,,Open space,"$1,900,000 ","$1,900,000 ","$1,900,000 ","$1,900,000 ",yes,Pass,530,234,764,69.37%,30.63%,Chester Co,no,,,4202921480,4202921480,
6810,Buckingham Township,PA,Municipal,11/2/1999,"Bond for open space, farmland, recreation, easements",Bond,,"Farmland, open space, recreation","$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ",yes,Pass,"2,665",475,"3,140",84.87%,15.13%,Bucks Co,no,,,4201709816,4201709816,
6753,Twinsburg,OH,Municipal,11/2/1999,"Open Space Acquisition Bond, Bond for specified parcel",Bond,,Open space,"$10,500,000 ","$10,500,000 ","$10,500,000 ","$10,500,000 ",yes,Pass,"2,664","1,214","3,878",68.70%,31.30%,,no,,,3978050,3978050,
6754,Columbus & Franklin County Metropolitan Park District,OH,Special District,5/4/1999,"Issue 15, 10-year, .65 mill property tax(replacement and increase) for specified parcels",Property tax,,"Forests, watershed protection","$125,000,000 ","$125,000,000 ","$125,000,000 ","$125,000,000 ",yes,Pass,"59,091","41,131","100,222",58.96%,41.04%,,yes,2009,,,,
6755,Columbus,OH,Municipal,11/2/1999,"Bond for parks, recreation",Bond,,"Parks, recreation","$59,400,000 ","$59,400,000 ","$59,400,000 ","$59,400,000 ",yes,Pass,"85,570","39,873","125,443",68.21%,31.79%,,no,,,3918000,3918000,
6770,Symmes Township,OH,Municipal,11/2/1999,"Proposed Tax Levy, 5-year, .15 mill property tax levy for parks, recreation",Property tax,,"Parks, recreation","$3,637,500 ","$3,637,500 ","$3,637,500 ","$3,637,500 ",yes,Pass,"1,652",954,"2,606",63.39%,36.61%,Hamilton County,yes,2004,,3906176028,3906176028,
6710,Suffolk County,NY,County,11/2/1999,"Proposition 2, .25 percent sales tax extension for drinking water",Sales tax,,Watershed protection,"$140,000,000 ","$140,000,000 ","$140,000,000 ","$140,000,000 ",yes,Pass,"73,278","10,145","83,423",87.84%,12.16%,,no,,,36103,36103,36103
6711,Southold,NY,Municipal,11/2/1999,"Proposition 1, Bond for open space, farmland, easements",Bond,,"Open space, farmland","$2,000,000 ","$2,000,000 ","$2,000,000 ","$2,000,000 ",yes,Pass,"3,755","2,763","6,518",57.61%,42.39%,,no,,,3610369463,3610369463,
6712,Brookhaven,NY,Municipal,11/2/1999,"Proposal 6, Bond for open space, drinking water, farmland easements, environmentally sensitive areas",Bond,,"Open space, watershed protection, farmland","$10,000,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",yes,Pass,"33,018","13,938","46,956",70.32%,29.68%,,no,,,3610310000,3610310000,
6549,Franklin Township,NJ,Municipal,11/2/1999,".01 cent per $100 property tax increase for open space, farmland",Property tax,,"Open space, farmland","$1,251,720 ","$1,251,720 ","$1,251,720 ","$1,251,720 ",yes,Pass,"2,081","1,152","3,233",64.37%,35.63%,Gloucester County,no,,,3401524840,3401524840,
6550,Frelinghuysen Township,NJ,Municipal,11/2/1999,"Township Question, .01 per $100 property tax increase for farmland, easements",Property tax,,Farmland,"$310,040 ","$310,040 ","$310,040 ","$310,040 ",yes,Pass,230,119,349,65.90%,34.10%,Warren Co,no,,,3404125320,3404125320,
6551,Green Brook Township,NJ,Municipal,11/2/1999,"10 year, .015 cent per $100 property tax increase for open space, historic preservation, recreation",Property tax,,"Open space, recreation","$850,070 ","$850,070 ","$850,070 ","$850,070 ",yes,Pass,287,254,541,53.05%,46.95%,Somerset Co,yes,2009,,3403527510,3403527510,
6552,Hanover Township,NJ,Municipal,11/2/1999,"5-year, .02 cent per $100 property tax increase for open space, parks",Property tax,,"Open space, parks","$1,983,500 ","$1,983,500 ","$1,983,500 ","$1,983,500 ",yes,Pass,"1,236",710,"1,946",63.51%,36.49%,Morris Co,no,2004,,3402729550,3402729550,
6553,Hopatcong Borough,NJ,Municipal,11/2/1999,"5-year, .01 cent per $100 property tax increase for open space, recreation",Property tax,,"Open space, recreation","$430,000 ","$430,000 ","$430,000 ","$430,000 ",yes,Pass,"1,651","1,570","3,221",51.26%,48.74%,Sussex Co,no,2004,,3403732910,3403732910,
6554,Howell Township,NJ,Municipal,11/2/1999,"Public Question, 1 cent per $100 property tax increase for open space, farmland",Property tax,,"Open space, farmland","$5,092,000 ","$5,092,000 ","$5,092,000 ","$5,092,000 ",yes,Pass,"4,236","1,039","5,275",80.30%,19.70%,Monmouth Co,no,,,3402533300,3402533300,
6555,Hunterdon County,NJ,County,11/2/1999,"County Question, 5-year, 3 cents per $100 property tax increase for open space, recreation, farmland, historic preservation",Property tax,,"Open space, recreation, farmland","$18,009,025 ","$18,009,025 ","$18,009,025 ","$18,009,025 ",yes,Pass,"14,178","6,966","21,144",67.05%,32.95%,,yes,2004,,34019,34019,34019
6556,Lawrence Township,NJ,Municipal,11/2/1999,"Municipal Question, .01 cent per $100 property tax increase for open space, farmland, historic preservation, recreation",Property tax,,"Open space, farmland, recreation","$4,940,000 ","$4,940,000 ","$4,940,000 ","$4,940,000 ",yes,Pass,"3,651","1,692","5,343",68.33%,31.67%,Mercer Co,no,,,3402139510,3402139510,
6557,Lincoln Park Borough,NJ,Municipal,11/2/1999,"Municipal Question 2, .01 cent per $100 property tax increase for open space, recreation, historic preservation, farmland",Property tax,,"Open space, farmland, recreation","$3,400,000 ","$3,400,000 ",,,no,Fail,440,469,909,48.40%,51.60%,Morris Co,no,,,3402740290,3402740290,
6558,Logan Township,NJ,Municipal,11/2/1999,".01 cent per $100 property tax increase for open space, recreation, farmland, historic preservation",Property tax,,"Open space, farmland, recreation","$1,002,080 ","$1,002,080 ","$1,002,080 ","$1,002,080 ",yes,Pass,"1,025",545,"1,570",65.29%,34.71%,Gloucester Co,no,,,3401541160,3401541160,
6559,Lopatcong Township,NJ,Municipal,11/2/1999,"Township Question, .01 cent per $100 for open space, recreation, farmland, historic preservation",Property tax,,"Open space, recreation, farmland","$1,000,000 ","$1,000,000 ","$1,000,000 ","$1,000,000 ",yes,Pass,"1,073",397,"1,470",72.99%,27.01%,Warren Co,no,,,3404141490,3404141490,
6560,Manalapan Township,NJ,Municipal,11/2/1999,"2 cents per $100 property tax increase for open space, parks, farmland",Property tax,,"Open space, parks, farmland","$8,420,000 ","$8,420,000 ","$8,420,000 ","$8,420,000 ",yes,Pass,"2,392","1,826","4,218",56.71%,43.29%,Monmouth Co,no,,,3402542990,3402542990,
6561,Millstone Township,NJ,Municipal,11/2/1999,"Public Question 1, 2 cents per $100 property tax increase for open space, recreation, farmland, historic preservation",Property tax,,"Open space, farmland, recreation","$12,720,000 ","$12,720,000 ","$12,720,000 ","$12,720,000 ",yes,Pass,"1,046",643,"1,689",61.93%,38.07%,Monmouth Co,no,,,3402546560,3402546560,
6577,Pittsgrove Township,NJ,Municipal,11/2/1999,"Public Question, increase taxes for farmland, easements",Property tax,,Farmland,"$15,000 ","$15,000 ","$15,000 ","$15,000 ",yes,Pass,911,639,"1,550",58.77%,41.23%,Salem Co,no,,,3403359130,3403359130,
6579,Bordentown Township,NJ,Municipal,11/2/1999,"Township Public Question, 20-years, .03 cents per $100 property tax increase for open space, farmland",Property tax,,"Open space, farmland","$3,120,000 ","$3,120,000 ","$3,120,000 ","$3,120,000 ",yes,Pass,"1,145",915,"2,060",55.58%,44.42%,Burlington Co.,yes,2019,,3400506700,3400506700,
6580,Byram Township,NJ,Municipal,11/2/1999,"Public Question, .02 cents per $100 property tax increase for open space, recreation, farmland, historic preservation",Property tax,,"Open space, farmland","$1,982,500 ","$1,982,500 ","$1,982,500 ","$1,982,500 ",yes,Pass,"1,812",659,"2,471",73.33%,26.67%,Sussex Co,no,,,3403709160,3403709160,
6581,Chatham Township,NJ,Municipal,11/2/1999,"Municipal Question 1, .01 cent per $100 property tax increase for open space, parks, streams, easements",Property tax,,"Open space, parks, watershed protection","$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",yes,Pass,753,536,"1,289",58.42%,41.58%,Morris Co,no,,,3402712130,3402712130,
6582,Colts Neck Township,NJ,Municipal,11/2/1999,$2.5 million for land acquisition for open space and recreation,Bond,,"Open space, recreation","$2,500,000 ","$2,500,000 ",,,no,Fail,,,,,,Monmouth Co 36/64,no,,,3402514560,3402514560,
6583,Cranbury Township,NJ,Municipal,11/2/1999,"Municipal Question 1, .03 cents per $100 property tax increase for open space, farmland, easements",Property tax,,"Open space, farmland","$2,400,000 ","$2,400,000 ","$2,400,000 ","$2,400,000 ",yes,Pass,742,143,885,83.84%,16.16%,Middlesex Co,no,,,3402315550,3402315550,
6597,Plainsboro Township,NJ,Municipal,11/2/1999,"Municipal Question, .01 cent per $100 property tax increase for open space, farmland",Property tax,,"Open space, farmland","$3,755,160 ","$3,755,160 ","$3,755,160 ","$3,755,160 ",yes,Pass,"1,113",818,"1,931",57.64%,42.36%,Middlesex Co,no,,,3402359280,3402359280,
6598,Pohatcong Township,NJ,Municipal,11/2/1999,".02 cent per $100 property tax increase for open space, drinking water, recreation, farmland",Property tax,,"Open space, recreation watershed protection","$2,529,400 ","$2,529,400 ","$2,529,400 ","$2,529,400 ",yes,Pass,434,238,672,64.58%,35.42%,Warren Co,no,,,3404159820,3404159820,
6599,Randolph Township,NJ,Municipal,11/2/1999,"Municipal Question 2, .01 cent per $100 property tax increase for open space, parks",Property tax,,"Open space, parks","$10,480,000 ","$10,480,000 ","$10,480,000 ","$10,480,000 ",yes,Pass,"2,140",656,"2,796",76.54%,23.46%,Morris Co,no,,,3402761890,3402761890,
6600,Roseland Borough,NJ,Municipal,11/2/1999,"Municipal Question 1, 2 cents per $100 property tax increase for open space, recreation, farmland, historic preservation",Property tax,,"Open space, farmland, recreation","$1,018,500 ","$1,018,500 ","$1,018,500 ","$1,018,500 ",yes,Pass,473,292,765,61.83%,38.17%,Essex Co,no,,,3401364590,3401364590,
6601,Scotch Plains Township,NJ,Municipal,11/2/1999,"Property tax increase for open space preservation, parks and recreation",Property tax,,"Open space, parks, recreation","$3,738,860 ","$3,738,860 ","$3,738,860 ","$3,738,860 ",yes,Pass,,,,,,Union Co 51/49,no,,,3403966060,3403966060,
6638,Allamuchy Township,NJ,Municipal,11/2/1999,"Township Question, .02 cent per $100 property tax increase for open space, farmland, historic preservation",Property tax,,"Open space, farmland","$1,212,500 ","$1,212,500 ","$1,212,500 ","$1,212,500 ",yes,Pass,628,190,818,76.77%,23.23%,Warren Co,no,,,3404100670,3404100670,
6639,Atlantic Highlands Borough,NJ,Municipal,11/2/1999,"Municipal Public Question, 1 cent per $100 property tax increase for open space, parks, recreation",Property tax,,"Open space, parks, recreation","$597,440 ","$597,440 ","$597,440 ","$597,440 ",yes,Pass,"1,108",435,"1,543",71.81%,28.19%,Monmouth Co,no,,,3402502110,3402502110,
6640,Berlin Township,NJ,Municipal,11/2/1999,"Municipal Question, .04 cent per $100 property tax increase for open space, farmland, historic preservation",Property tax,,"Open space, farmland","$2,500,000 ","$2,500,000 ","$2,500,000 ","$2,500,000 ",yes,Pass,362,271,633,57.19%,42.81%,Camden Co,no,,,3400705470,3400705470,
